BEZEROKODEA;BEZEROIZENA;KONTAKTUIZENA;KONTAKTUABIZENA;TELEFONOA;FAX;HELBIDELERROA1;HELBIDELERROA2;HERRIA;ESKUALDEA;HERRIALDEA;POSTAKODEA;SALEROSKETALANGILEKODEA;KREDITUMUGA
6;Lasas S.A.;Antonio;Lasas;34916540145;34914851312;C/Leganes 15;;Fuenlabrada;Madrid;España;28945;8;154310
32;france telecom;FraÃ§ois;Toulou;(33)5120578961;(33)5120578961;6 place d Alleray 15Ã¨me;;Paris;;France;75010;16;10000
33;Musée du Louvre;Pierre;Delacroux;(33)0140205050;(33)0140205442;Quai du Louvre;;Paris;;France;75058;16;30000
37;THE MAGIC GARDEN;Richard;Mcain;926523468;9364875882;Lihgting Park;;London;London;United Kingdom;65930;18;10000
1;DGPRODUCTIONS GARDEN;Daniel G;GoldFish;5556901745;5556901746;False Street 52 2 A;;San Francisco;;USA;24006;19;5000
3;Gardening Associates;Anne;Wright;5557410345;5557410346;Wall-e Avenue;;Miami;Miami;USA;24010;19;7000
4;Gerudo Valley;Link;Flaute;5552323129;5552323128;Oaks Avenue nº22;;New York;;USA;85495;22;17000
5;Tendo Garden;Akane;Tendo;55591233210;55591233211;Null Street nº69;;Miami;;USA;696969;22;605000
7;Beragua;Jose;Bermejo;654987321;916549872;C/pintor segundo;Getafe;Madrid;Madrid;España;28942;11;25000
8;Club Golf Puerta del hierro;Paco;Lopez;62456810;919535678;C/sinesio delgado;Madrid;Madrid;Madrid;España;28930;11;45000
9;Naturagua;Guillermo;Rengifo;689234750;916428956;C/majadahonda;Boadilla;Madrid;Madrid;España;28947;11;37000
10;DaraDistribuciones;David;Serrano;675598001;916421756;C/azores;Fuenlabrada;Madrid;Madrid;España;28946;11;55000
11;Madrileña de riegos;Jose;Tacaño;655983045;916689215;C/Lagañas;Fuenlabrada;Madrid;Madrid;España;28943;11;25000
12;Lasas S.A.;Antonio;Lasas;34916540145;34914851312;C/Leganes 15;;Fuenlabrada;Madrid;España;28945;8;159310
13;Camunas Jardines S.L.;Pedro;Camunas;34914873241;34914871541;C/Virgenes 45;C/Princesas 2 1ºB;San Lorenzo del Escorial;Madrid;España;28145;8;21481
14;Dardena S.A.;Juan;Rodriguez;34912453217;34912484764;C/Nueva York 74;;Madrid;Madrid;España;28003;8;326000
15;Jardin de Flores;Javier;Villar;654865643;914538776;C/ Oña 34;;Madrid;Madrid;España;28950;30;45000
16;Flores Marivi;Maria;Rodriguez;666555444;912458657;C/Leganes24;;Fuenlabrada;Madrid;España;28945;5;2500
17;Flowers, S.A;Beatriz;Fernandez;698754159;978453216;C/Luis Salquillo4;;Montornes del valles;Barcelona;España;24586;5;4500
18;Naturajardin;Victoria;Cruz;612343529;916548735;Plaza Magallón 15;;Madrid;Madrid;España;28011;30;6050
19;Golf S.A.;Luis;Martinez;916458762;912354475;C/Estancado;;Santa cruz de Tenerife;Islas Canarias;España;38297;12;35000
20;AYMERICH GOLF MANAGEMENT, SL;Mario;Suarez;964493072;964493063;C/Letardo;;Barcelona;Cataluña;España;12320;12;25000
21;Aloha;Cristian;Rodrigez;916485852;914489898;C/Roman 3;;Canarias;Canarias;España;35488;12;55000
22;El Prat;Francisco;Camacho;916882323;916493211;Avenida Tibidabo;; Barcelona;Cataluña;España;12320;12;35000
23;Sotogrande;Maria;Santillana;915576622;914825645;C/Paseo del Parque;;Sotogrande;Cadiz;España;11310;12;65000
24;Vivero Humanes;Federico;Gomez;654987690;916040875;C/Miguel Echegaray 54;;Humanes;Madrid;España;28970;30;8430
25;Fuenla City;Tony;Muñoz Mena;675842139;915483754;C/Callo 52;;Fuenlabrada;Madrid;España;28574;5;5500
26;Jardines y Mansiones CACTUS SL;Eva María;Sánchez;916877445;914477777;Polígono Industrial Maspalomas, Nº52;Móstoles;Madrid;Madrid;España;29874;9;81000
27;Jardinerías Matías SL;Matías;San Martín;916544147;917897474;C/Francisco Arce, Nº44;Bustarviejo;Madrid;Madrid;España;37845;9;105500
28;Agrojardin;Benito;Lopez;675432926;916549264;C/Mar Caspio 43;;Getafe;Madrid;España;28904;30;9040
29;Top Campo;Joseluis;Sanchez;685746512;974315924;C/Ibiza 32;;Humanes;Madrid;España;28574;5;6500
30;Jardineria Sara;Sara;Marquez;675124537;912475843;C/Lima 1;;Fenlabrada;Madrid;España;27584;5;8500
31;Campohermoso;Luis;Jimenez;645925376;916159116;C/Peru 78;;Fuenlabrada;Madrid;España;28945;30;4250
35;Tutifruti S.A;Jacob;Jones;2 9261-2433;2 9283-1695;level 24, St. Martins Tower.-31 Market St.;;Sydney;Nueva Gales del Sur;Australia;2000;31;11000
36;FLORES S.L.;Antonio;Romero;654352981;685249700;Avenida España;;Madrid;Fuenlabrada;España;29643;18;7000
38;El Jardin Viviente S.L;Justin;Smith;2 8005-7161;2 8005-7162;176 Cumberland Street The rocks;;Sydney;Nueva Gales del Sur;Australia;2003;31;9000
